mapped_taxid	genome_taxids:kmers_mapped:total_genome_kmers
1236	198215:9233:4599281 198214:6738:4828674 434271:3415:2241989 316273:2260:5419787 211586:6164:5131278 325240:7206:5342531 36870:418:702858 331111:7906:5248777 374931:3006:1887119 209261:6724:4791888 331112:6508:4643465 246195:531:1389277 326442:4997:3850126 377628:6487:4646067 400673:1251:3576397 362663:5625:4938847 107806:169:655506 340:771:5078929 418136:319:1898403 160488:5507:6181790 323261:424:3521965 384676:5590:5888707 416269:3405:2274409 259536:1127:2650628 326297:7083:4306069 205918:3600:6093625 243233:853:3304488 229193:6576:4802852 214092:5609:4733426 94122:20584:5251000 402882:7407:5312764 291272:217:791581 155864:6334:5620376 509173:25304:3936218 509170:1640:3589856 221988:3346:2314005 208963:4189:6537575 177416:312:1892702 203907:178:705484 300269:10772:5054951 1016998:6868:4858814 335284:1122:3100951 300268:6120:4646374 321314:25049:4943781 380703:11064:4744375 223283:3895:6538041 224915:133:618233 264730:3948:6112229 349106:1547:2994830 298386:14242:6403061 349747:6694:4934906 349746:6702:4686795 364106:5881:5179825 338187:9290:6058158 374930:3214:1812960 360102:6268:4879544 196600:12894:5259867 374463:615:686121 76869:5023:6078357 399742:5989:4676315 399741:7691:5495511 208964:2886:6264331 314565:779:5148635 386585:6420:5594258 233412:2884:1698882 393115:312:1892543 357804:4292:4559525 342109:720:4940144 60481:7136:4798963 351746:4816:5959891 351745:10751:4708307 198804:189:641381 360115:229:2053598 379731:3156:4567345 386656:6647:4725643 187272:717:3275871 373384:6203:4574211 393595:15365:3120070 349521:5184:7215194 390235:5647:5774257 99287:6888:4951225 283942:2614:2839245 399599:7529:5547252 412965:189:1022081 71421:3474:1830065 349124:183:2678379 387662:29:159589 228400:1968:2263784 60480:7208:4706214 183190:426:2521002 281310:7444:1914417 190485:779:5076115 190486:747:5273955 300267:22870:4560692 392500:8013:5935330 220664:3217:7074820 273123:6512:4840679 413404:128:1160709 458817:9050:5226844 511145:6773:4641579 405441:426:2573841 405440:438:2475057 458234:358:1890836 398579:10590:5174508 243277:8201:4033318 227377:208:2032528 41514:5964:4600727 291331:720:4941366 272843:3163:2257414 502800:6771:4689368 318161:6395:4545833 317025:890:2427661 318167:6670:4845184 290398:2446:3696576 319224:13986:4659147 223926:10059:5165624 351348:16018:4779543 205914:2060:2012732 220341:21808:5133494 62977:2127:3598548 338565:6525:4067426 199310:5689:5231355 243265:4019:5688914 205922:3749:6438332 272620:34039:5694456 167879:4175:5373107 441952:319:1893813 381754:5992:6588266 382245:33082:5040098 481805:14653:4746145 312309:10727:4273499 272624:1216:3397681 399739:2894:5072734 339671:3247:2319590 187410:6669:4701599 218491:5551:5063946 434922:229:2212791 345073:8561:4132173 290339:9894:4530558 290338:5273:4735138 344609:15341:4874221 393011:358:1895654 323850:9658:4602521 216895:9781:5126550 425104:9466:5517601 297246:1223:3635349 372461:152:416307 405955:12900:5497434 297245:1214:3405373 203122:1630:5057458 343509:4598:4292210 400668:5606:5100271 342610:3421:5186932 400667:4569:4001238 316385:6830:4686064 401614:349:1909958 160492:756:2731531 393305:6888:4683474 484022:521:2049565 119857:358:1895921 405416:3973:3996542 
228908	228908:490812:490812 
318586	318586:5232091:5235975 
233413	233413:36066:4345419 
233412	233412:1686637:1698882 
59919	59919:1649103:1657917 
426117	426117:7726379:7736806 
200795	255470:7:1395429 216389:7:1341819 243164:7:1469647 316274:5:6785211 
355276	355276:292043:3931636 
342108	342108:4963549:4967075 
342109	342109:455723:4940144 
391009	391009:1914218:1915165 
374930	374930:830774:1812960 
392021	392021:37561:1257637 
360115	360115:132134:2053598 
262316	262316:2418816:4829708 
86661	260799:3595669:5228590 222523:759713:5432506 226900:400876:5426937 198094:3594946:5227220 261594:3599803:5503707 412694:2958573:5312884 315749:35860:4094013 315730:211542:5872378 281309:3265132:5314648 288681:2697958:5842797 
85023	281090:784:2584085 443906:1592:3395018 31964:1405:3403567 
339860	339860:1766957:1767330 
296591	296591:5892095:5898457 
381666	381666:7303914:7416459 
288000	288000:8445729:8493367 
1243	203120:19774:2075617 349519:19228:1896249 
642	380703:62705:4744375 382245:61142:5040098 
170187	170187:432558:2160769 
351607	351607:2442765:2443467 
351746	351746:4456327:5959891 
433	349163:1371:3962423 272568:5149:3999372 391165:2358:2708282 290633:3718:2921946 
186814	273068:34638:2689372 264732:54:2628711 399726:20982:2457186 246194:289:2401447 340099:22026:2362743 
373153	373153:9929:2046042 
338	291331:97877:4941366 316273:463550:5419787 342109:99661:4940144 340:80340:5078929 190485:65760:5076115 190486:402833:5273955 314565:77692:5148635 
319225	319225:2331999:2364769 
228405	228405:3704478:3704948 
228400	228400:1251516:2263784 
190485	190485:178446:5076115 
190486	190486:4867901:5273955 
269796	269796:4404241:4406411 
269799	269799:4006791:4011036 
348780	348780:2749044:2749477 
321327	321327:2805020:2932693 
362663	362663:939556:4938847 
362242	362242:2884818:5631533 
289380	289380:1917618:2921777 
38504	273119:748499:751646 505682:748369:751606 
398577	398577:5798033:7642244 
258594	258594:5429475:5467494 
188787	262724:68:2127336 243230:102:3283864 319795:136:3246799 300852:68:2115837 
350688	350688:3117960:3123485 
398578	398578:6638360:6767441 
106589	164546:100417:6476303 266264:16625:6913060 381666:93841:7416459 264198:35218:7254998 
272621	272621:1978344:1993487 
272620	272620:5563572:5694456 
272623	272623:2204973:2365516 
272622	272622:1452484:2597910 
41514	41514:4177347:4600727 
272624	272624:1768911:3397681 
272626	272626:2889394:3092967 
420662	420662:4631517:4643493 
186103	186103:227365:1894944 
204722	204722:74899:3315029 
208435	208435:375826:2160194 
190650	190650:4008174:4016874 
145259	355278:3948599:3955870 456481:3944349:3951229 
426368	426368:1647941:1772621 
318161	318161:4511791:4545833 
317025	317025:2426154:2427661 
312153	312153:2153672:2159417 
203267	203267:172250:927230 
290399	290399:5056497:5070186 
290398	290398:3692669:3696576 
243160	243160:52788:5835381 
243161	243161:1072618:1080305 
264198	264198:7154359:7254998 
264199	264199:229191:1796773 
273116	273116:1583119:1584731 
269084	269084:130739:2696182 
223926	223926:5082836:5165624 
395019	395019:6628832:7008330 
84588	84588:2423397:2434355 
93062	93062:60249:2813716 
93061	93061:59651:2821288 
93060	93060:1676911:1738717 
363253	363253:1718109:1718722 
198466	198466:6384:1900448 
224756	368407:62:2478028 351160:61:3179843 349307:62:1879398 192952:73:4096272 456442:98:2542870 323259:356:3544665 269797:165:4873620 259564:207:2574959 410358:156:1804889 188937:165:5751419 
224471	395495:1446:4909330 420662:1141:4643493 
243265	243265:5680274:5688914 
186817	235909:100:3592520 66692:859:4303798 260799:2531:5228590 221109:2708:3630455 222523:2398:5432506 226900:2682:5426937 272558:1539:4202279 444177:2718:4817317 198094:2533:5227220 420246:357:3607866 224308:2954:4215533 261594:2533:5503707 412694:3711:5312884 315749:2290:4094013 326423:2863:3918516 279010:3940:8445096 315750:1933:3704392 315730:3034:5872378 281309:3557:5314648 288681:3225:5842797 
96561	96561:3943909:3944094 
32051	32051:2355604:2366907 
347257	347257:877106:877365 
59920	59920:1385553:1842826 
59922	59922:2401152:2682602 
375286	375286:4076410:4110178 
323097	323097:5003171:5011230 
194439	194439:2152659:2154873 
295358	295358:311066:892685 
99287	99287:1224968:4951225 
416591	416591:2126381:2135269 
235	359391:223947:3278161 430066:223542:3283790 262698:219910:3286299 
359786	359786:2314:2936983 
359787	359787:491:2936790 
312309	312309:4248393:4273499 
237	376686:4982:6096799 402612:5212:2860309 
478009	478009:222591:2668411 
298653	298653:8972302:8981969 
56780	56780:3177735:3179227 
2206	259564:326:2574959 192952:266:4096272 269797:275:4873620 188937:182:5751419 
336982	336982:37380:4424362 
452659	452659:45706:1268128 
339670	339670:5647124:7528275 
340099	340099:911294:2362743 
218496	218496:172290:925865 
136849	264730:157328:6112229 205918:164257:6093625 223283:126400:6538041 
218491	218491:5042328:5063946 
136841	381754:3092:6588266 399739:4265:5072734 208964:3061:6264331 208963:2998:6537575 
487214	487214:667650:2245542 
1754	399726:1398502:2457186 340099:1427681:2362743 
216389	216389:582976:1341819 
1177	103690:1754:7211278 63737:1030:9058753 
1279	451516:45204:2899810 367830:43237:2917177 279808:80112:2684942 273036:13431:2742458 342451:14836:2577680 93062:31184:2813716 93061:12916:2821288 426430:13132:2878824 158879:88754:2839323 158878:70623:2903490 176280:53649:2564104 418127:66324:2880095 176279:99827:2643694 359786:70156:2936983 359787:70158:2936790 282459:18131:2820308 282458:72023:2902546 196620:28599:2820389 
227290	176299:1082:5673966 347834:702:6529717 216596:795:7750798 
1129742	391896:55:1528907 293613:173:1159699 336407:58:1522003 
370438	370438:3024278:3025302 
382638	382638:1539368:1557442 
216895	216895:2942944:5126550 
453591	453591:1297036:1297465 
372461	372461:415754:416307 
192952	192952:4086648:4096272 
321967	321967:2866724:2924179 
243232	243232:1664767:1664897 
191412	340177:436:2572006 290317:1044:3133829 290318:618:1966785 331678:791:2736330 319225:1358:2364769 194439:2112:2154873 
13373	412022:663992:5742157 243160:641870:5835381 320388:576471:5232255 320389:679018:5848234 
257310	257310:1258239:5339106 
119060	267608:14918:5810776 412022:3070:5742157 331272:4323:7702548 391038:3621:8676270 272560:3069:7247401 452638:121:1560396 320372:3370:7307908 339670:33344:7528275 320373:3080:7040257 398577:4441:7642244 331271:4266:7278897 266264:27365:6913060 266265:2024:9730919 406425:4461:7971170 381666:11366:7416459 271848:2990:6723826 312153:173:2159417 357348:3321:7089103 243160:3070:5835381 264198:46792:7254998 482957:4728:8676058 395019:3726:7008330 320388:2716:5232255 320389:3070:5848234 164546:10651:6476303 269482:45745:8390486 
368407	368407:2477730:2478028 
1280	451516:1084615:2899810 367830:1083187:2917177 273036:1565604:2742458 93062:1086534:2813716 93061:1087306:2821288 426430:1092458:2878824 158879:1099487:2839323 158878:1098726:2903490 418127:1099099:2880095 359786:1097735:2936983 359787:1098416:2936790 282459:1098034:2820308 282458:1041707:2902546 196620:1099400:2820389 
1282	176280:1829152:2564104 176279:1831029:2643694 
342610	342610:5181377:5186932 
316385	316385:45047:4686064 
942	212042:256:1471209 302409:188:1499847 254945:188:1512904 222891:17:858933 234826:215:1197614 292805:140:1080011 205920:169:1176175 163164:130:1267709 269484:144:1314957 
368408	368408:1813182:1813247 
370554	370554:323139:1937038 
326424	326424:7485210:7497861 
1578	272621:13449:1993487 324831:35661:1894287 321967:39542:2924179 257314:39266:1992603 334390:25104:2098612 220668:8267:3348332 314315:5776:1884588 299033:4711:1999545 362948:3049:2133685 387344:19992:2340009 321956:43376:1856878 390333:35033:1864925 405566:57936:2080858 
517	257310:4075966:5339106 257311:3850085:4773478 340100:6878:5287877 257313:2432582:4086116 360910:5295:3732182 
326423	326423:3871567:3918516 
412965	412965:1020686:1022081 
129337	420246:42209:3607866 235909:43547:3592520 
362976	362976:3178714:3179215 
1307	391295:1913696:2096236 391296:1912344:2095625 
1300	516950:482:2209125 373153:482:2046042 293653:861:1838489 205921:751:2127766 370552:861:1928179 370553:861:1860282 370551:861:1836394 391295:312:2096236 370554:861:1937038 160491:855:1841198 467705:459:2196589 391296:312:2095625 193567:728:1894202 487214:487:2245542 272623:11067:2365516 272622:18395:2597910 186103:843:1894944 208435:751:2160194 210007:240:2032852 322159:5101:1863959 211110:751:2211412 299768:3870:1796153 388919:392:2388362 264199:3608:1796773 286636:861:1899804 160490:765:1852360 171101:482:2038542 319701:861:1897500 170187:483:2160769 416870:19576:2529405 198466:861:1900448 
1301	516950:33239:2209125 373153:11779:2046042 293653:41224:1838489 205921:51723:2127766 370552:44026:1928179 370553:40538:1860282 370551:41094:1836394 391295:25923:2096236 391296:25419:2095625 160491:33264:1841198 467705:28538:2196589 370554:35110:1937038 193567:33071:1894202 487214:26535:2245542 186103:34387:1894944 208435:71857:2160194 210007:2224:2032852 322159:11876:1863959 211110:51141:2211412 299768:10827:1796153 388919:27083:2388362 264199:10748:1796773 286636:32123:1899804 160490:39806:1852360 171101:11779:2038542 319701:49009:1897500 170187:10909:2160769 198466:34780:1900448 
293653	293653:27620:1838489 
266779	266779:4930979:4934893 
197221	197221:2593123:2593784 
1308	322159:1180284:1863959 299768:1546373:1796153 264199:1545269:1796773 
36870	36870:701946:702858 
267377	267377:1613222:1661064 
339671	339671:2308619:2319590 
114380	415426:603:1667090 399550:202:1570412 272557:35:1669623 453591:295:1297465 
82115	176299:2507:5673966 347834:3035:6529717 366394:3722:6817284 266834:4091:6691475 216596:3090:7750798 
136	243276:20:1137938 243275:4:2843128 455434:20:1139384 390236:14:1201017 224326:14:1519602 290434:14:986695 
94695	349307:44:1879398 259564:9:2574959 192952:84:4096272 269797:78:4873620 188937:78:5751419 
403833	403833:2165506:2169475 
497	335284:42653:3100951 349106:4971:2994830 259536:42564:2650628 
158879	158879:12929:2839323 
22	458817:83518:5226844 326297:11140:4306069 319224:3004770:4659147 211586:146729:5131278 323850:18011:4602521 325240:99306:5342531 425104:40527:5517601 60480:1727290:4706214 399599:104981:5547252 60481:1692972:4798963 94122:663367:5251000 402882:95350:5312764 351745:2963612:4708307 318161:24828:4545833 392500:37248:5935330 318167:35165:4845184 398579:92480:5174508 
218497	218497:1138067:1144304 
369723	369723:5146150:5183258 
29	448385:24:13033706 404589:34:5277917 290397:27:5013406 246197:48:9139690 
1649845	273123:3415751:4840679 349747:3134730:4934906 349746:3679212:4686795 502800:3329596:4689368 229193:3838926:4802852 377628:3748060:4646067 187410:3768795:4701599 360102:3844901:4879544 214092:3833777:4733426 386656:3770211:4725643 
407	419610:9058:5471081 426117:6011:7736806 426355:10753:6898453 
36809	36809:5036380:5090345 
2157	272844:8:1768416 69014:1:2088664 415426:12:1667090 368408:23:1813247 453591:12:1297465 399549:1:2191444 186497:8:1908183 399550:12:1570412 70601:8:1738432 
212717	212717:2868368:2873187 
146891	146891:1535299:1669813 
28216	272831:1791:2194888 257313:1673:4086116 323848:772:3234017 267608:2203:5810776 232721:3835:4584935 412022:1971:5742157 76114:5543:4727036 292415:1768:2909736 391735:898:5597797 375286:806:4110178 391038:3243:8676270 338969:540:4969638 272560:2171:7247401 243365:5267:4751007 452638:342:1560396 365044:528:5365486 320372:2175:7307908 374833:1830:2153343 339670:3013:7528275 320373:2172:7040257 398577:2957:7642244 397945:1000:5352699 331271:2920:7278897 265072:4706:2971444 331272:2943:7702548 398578:1336:6767441 266264:2434:6913060 266265:3620:9730919 335283:566:2781605 62928:4260:4375967 228410:4184:2812021 420662:1704:4643493 406425:2965:7971170 159087:2824:4501031 340100:1517:5287877 122586:1750:2272287 271848:2134:6723826 122587:1892:2184333 312153:389:2159417 357348:2175:7089103 243160:1930:5835381 395495:678:4909330 264198:3627:7254998 482957:2960:8676058 360910:1586:3732182 296591:259:5898457 257311:1685:4773478 395019:4848:7008330 381666:3065:7416459 204773:797:3424234 257310:1774:5339106 320388:1836:5232255 320389:1971:5848234 164546:3032:6476303 269482:2970:8390486 242231:1361:2153849 
163164	163164:1266669:1267709 
265072	265072:2964552:2971444 
2159	420247:362:1853087 339860:373:1767330 187420:273:1751304 
28211	316057:425:4892644 316056:538:5513771 316055:429:5505421 279238:595:4233095 349101:838:4489161 266779:507:4934893 302409:9:1499847 419610:986:5471081 293613:87:1159699 272943:700:4602466 272944:88:1268682 293614:87:1230987 470137:853:3324461 272947:72:1111450 323097:280:5011230 224911:283:9105755 257363:72:1111423 347834:1227:6529717 315456:87:1587021 176299:1127:5673966 269796:1403:4406411 283166:318:1930974 360095:288:1444948 366602:992:5889180 290400:170:4403903 272568:709:3999372 317655:323:3373567 349163:712:3962423 398580:318:4417430 266835:897:7596078 266834:1289:6691475 483179:853:3312623 262698:837:3286299 452659:88:1268128 349102:883:4556689 283165:322:1581311 357244:46:2126978 444178:824:3275444 439375:948:5205339 205920:9:1176175 258594:450:5467494 382640:322:2642258 254945:9:1512904 334380:46:2008914 163164:23:1267709 323098:288:3402020 246200:593:4600902 392499:858:5915027 228405:246:3704948 318586:688:5235975 292414:846:4153480 426117:833:7736806 402881:411:3914672 391165:479:2708282 342108:1052:4967075 156889:285:4719508 416276:67:1376038 190650:1365:4016874 392021:88:1257637 430066:837:3283790 395963:734:4418397 316058:355:5331583 290633:488:2921946 114615:575:7456514 78245:832:5624952 292805:14:1080011 204722:853:3315029 212042:5:1471209 216596:1276:7750798 335992:74:1308686 359391:827:3278161 264203:256:2056290 222891:29:858933 234826:14:1197614 366394:1508:6817284 438753:1395:5369699 314225:250:3052325 269484:1:1314957 288000:574:8493367 426355:1163:6898453 336407:88:1522003 391896:88:1528907 224914:852:3294785 375451:119:4330869 394221:375:3368707 
455632	455632:8523735:8545856 
715	416269:1374194:2274409 434271:1373537:2241989 
431947	431947:1203035:2354813 
431943	431943:4018666:4023654 
122586	122586:775581:2272287 
406425	406425:4704390:7971170 
434922	434922:519402:2212791 
196162	196162:5291460:5293539 
402880	402880:1685004:1788900 
196164	196164:3136553:3147017 
402882	402882:2885103:5312764 
243273	243273:579719:580003 
430066	430066:5078:3283790 
78245	78245:5618896:5624952 
136843	220664:18487:7074820 205922:18831:6438332 
192222	192222:439259:1641408 
221988	221988:2301666:2314005 
1016998	1016998:1239429:4858814 
379	347834:19220:6529717 216596:19257:7750798 
349161	349161:3604969:3608031 
386415	386415:2539977:2547647 
320388	320388:30170:5232255 
320389	320389:9525:5848234 
321314	321314:1455259:4943781 
380703	380703:4668642:4744375 
1063	272943:1602090:4602466 349101:1621047:4489161 349102:33558:4556689 
306537	306537:2417309:2476676 
360910	360910:3723349:3732182 
316057	316057:4843489:4892644 
316056	316056:5471740:5513771 
316055	316055:5469327:5505421 
2284	273063:350:2694683 273057:184:2992172 330779:256:2225886 
51291	243161:4:1080305 471473:4:1038790 471472:4:1038769 115711:2:1229780 315277:4:1051823 218497:11:1144304 227941:11:1181210 138677:2:1226492 115713:2:1230157 264202:11:1173645 272561:4:1042446 182082:2:1225862 
222523	222523:4467036:5432506 
292414	292414:4144125:4153480 
292415	292415:2907420:2909736 
300852	300852:929777:2115837 
316058	316058:5285494:5331583 
1113537	243161:1342:1080305 471473:1098:1038790 471472:1096:1038769 115711:1428:1229780 315277:1093:1051823 218497:1384:1144304 227941:1575:1181210 138677:1405:1226492 115713:1381:1230157 264202:1323:1173645 272561:1109:1042446 182082:1428:1225862 
426355	426355:6882582:6898453 
324602	324602:5258224:5258468 
1485	386415:5034:2547647 289380:6030:2921777 498214:8285:4259545 498213:8482:4106867 431943:1894:4023654 441772:8451:4012772 441771:6868:3760487 441770:7002:3863377 195102:5538:3085594 195103:4829:3256610 272562:3478:4132734 212717:3350:2873187 935198:15548:3847823 413999:7937:3903114 290402:18130:6000559 
216596	216596:7722820:7750798 
196600	196600:3071258:5259867 
80840	257313:2111:4086116 267608:3796:5810776 232721:49243:4584935 412022:987:5742157 331272:2149:7702548 391735:2317:5597797 375286:2626:4110178 391038:1560:8676270 338969:2228:4969638 272560:1115:7247401 452638:290:1560396 320372:1119:7307908 339670:4788:7528275 320373:1122:7040257 398577:2174:7642244 397945:3985:5352699 331271:2129:7278897 204773:3503:3424234 398578:107443:6767441 266264:59999:6913060 266265:76048:9730919 365044:5556:5365486 420662:8849:4643493 406425:2152:7971170 340100:151032:5287877 271848:1192:6723826 312153:357:2159417 357348:1136:7089103 243160:929:5835381 395495:4328:4909330 264198:5613:7254998 482957:2222:8676058 360910:1389:3732182 296591:1424:5898457 257311:2400:4773478 395019:2338:7008330 381666:2878:7416459 257310:2375:5339106 320388:838:5232255 320389:951:5848234 164546:2728:6476303 269482:2216:8390486 
410359	410359:2005404:2009240 
410358	410358:1804467:1804889 
471473	471473:22476:1038790 
1716	340322:11862:3363153 504474:42237:2369146 196164:7853:3147017 196627:9395:3309328 306537:55632:2476676 257309:5067:2488562 
83332	83332:6293:4411459 
2146	322098:20:723605 262768:24:853019 441768:2:1496919 
2301	273075:29:1564833 273116:30:1584731 263820:30:1545822 
173	189518:3409027:4697988 267671:3380098:4627220 
2302	273075:1580:1564833 273116:1582:1584731 
167539	167539:1747687:1751007 
412694	412694:2069716:5312884 
656088	340047:39943:1009950 272632:40547:1211630 
224326	224326:1495978:1519602 
224325	224325:2178226:2178327 
224324	224324:1590645:1590645 
226185	226185:3327802:3359682 
376686	376686:6090200:6096799 
226186	226186:6229450:6293253 
135619	290398:305:3696576 349521:263:7215194 393595:153:3120070 400668:468:5100271 
357809	357809:4846064:4847521 
357808	357808:5799590:5801525 
342023	370553:182739:1860282 370551:182731:1836394 
93059	93059:1685370:1688890 
357804	357804:4552758:4559525 
334390	334390:2066794:2098612 
391896	391896:169415:1528907 
446	297246:1726865:3635349 297245:1185221:3405373 272624:1626744:3397681 400673:1633528:3576397 
32008	357348:52882:7089103 391038:14912:8676270 243160:84986:5835381 271848:57434:6723826 482957:27054:8676058 398577:30251:7642244 412022:82263:5742157 331272:37266:7702548 395019:34640:7008330 339670:28064:7528275 406425:34683:7971170 320373:49860:7040257 320372:50699:7307908 320388:79500:5232255 320389:83250:5848234 331271:39215:7278897 272560:49209:7247401 269482:33490:8390486 266265:14610:9730919 
351745	351745:1720498:4708307 
198804	198804:639934:641381 
398580	398580:4413152:4417430 
379731	379731:4529438:4567345 
